ds,y
2020-05-16,204
2020-05-17,202
2020-05-18,228
2020-05-19,174
2020-05-20,211
2020-05-21,208
2020-05-22,227
2020-05-23,210
2020-05-24,197
2020-05-25,176
2020-05-26,178
2020-05-27,177
2020-05-28,181
2020-05-29,203
2020-05-30,202
2020-05-31,217
2020-06-01,224
2020-06-02,192
2020-06-03,193
2020-06-04,206
2020-06-05,204
2020-06-06,213
2020-06-07,209
2020-06-08,191
2020-06-09,196
2020-06-10,204
2020-06-11,170
2020-06-12,204
2020-06-13,206
2020-06-14,216
2020-06-15,183
2020-06-16,172
2020-06-17,170
2020-06-18,174
2020-06-19,195
2020-06-20,224
2020-06-21,183
2020-06-22,208
2020-06-23,196
2020-06-24,178
2020-06-25,184
2020-06-26,184
2020-06-27,195
2020-06-28,211
2020-06-29,229
2020-06-30,182
2020-07-01,220
2020-07-02,201
2020-07-03,208
2020-07-04,218
2020-07-05,221
2020-07-06,201
2020-07-07,173
2020-07-08,199
2020-07-09,206
2020-07-10,192
2020-07-11,208
2020-07-12,214
2020-07-13,184
2020-07-14,212
2020-07-15,198
2020-07-16,205
2020-07-17,182
2020-07-18,201
2020-07-19,176
2020-07-20,228
2020-07-21,220
2020-07-22,191
2020-07-23,197
2020-07-24,171
2020-07-25,211
2020-07-26,214
2020-07-27,226
2020-07-28,222
2020-07-29,175
2020-07-30,197
2020-07-31,197
2020-08-01,213
2020-08-02,213
2020-08-03,189
2020-08-04,199
2020-08-05,180
2020-08-06,227
2020-08-07,224
2020-08-08,197
2020-08-09,194
2020-08-10,208
2020-08-11,202
2020-08-12,170
2020-08-13,226
2020-08-14,196
2020-08-15,226
2020-08-16,221
2020-08-17,182
2020-08-18,210
2020-08-19,172
2020-08-20,208
2020-08-21,175
2020-08-22,177
2020-08-23,196
2020-08-24,178
2020-08-25,206
2020-08-26,202
2020-08-27,220
2020-08-28,211
2020-08-29,213
2020-08-30,193
2020-08-31,184
2020-09-01,228
2020-09-02,223
2020-09-03,201
2020-09-04,201
2020-09-05,193
2020-09-06,210
2020-09-07,221
2020-09-08,218
2020-09-09,218
2020-09-10,227
2020-09-11,221
2020-09-12,181
2020-09-13,208
2020-09-14,171
2020-09-15,172
2020-09-16,218
2020-09-17,206
2020-09-18,218
2020-09-19,225
2020-09-20,186
2020-09-21,228
2020-09-22,218
2020-09-23,171
2020-09-24,171
2020-09-25,197
2020-09-26,223
2020-09-27,192
2020-09-28,206
2020-09-29,201
2020-09-30,202
2020-10-01,170
2020-10-02,188
2020-10-03,171
2020-10-04,222
2020-10-05,213
2020-10-06,195
2020-10-07,201
2020-10-08,175
2020-10-09,201
2020-10-10,224
2020-10-11,173
2020-10-12,224
2020-10-13,180
2020-10-14,225
2020-10-15,228
2020-10-16,186
2020-10-17,207
2020-10-18,193
2020-10-19,174
2020-10-20,221
2020-10-21,203
2020-10-22,175
2020-10-23,191
2020-10-24,180
2020-10-25,217
2020-10-26,185
2020-10-27,202
2020-10-28,178
2020-10-29,229
2020-10-30,228
2020-10-31,175
2020-11-01,335
2020-11-02,348
2020-11-03,322
2020-11-04,339
2020-11-05,379
2020-11-06,378
2020-11-07,355
2020-11-08,338
2020-11-09,345
2020-11-10,322
2020-11-11,338
2020-11-12,339
2020-11-13,351
2020-11-14,326
2020-11-15,371
2020-11-16,360
2020-11-17,352
2020-11-18,359
2020-11-19,358
2020-11-20,337
2020-11-21,359
2020-11-22,320
2020-11-23,330
2020-11-24,347
2020-11-25,376
2020-11-26,344
2020-11-27,369
2020-11-28,342
2020-11-29,350
2020-11-30,349
2020-12-01,361
2020-12-02,354
2020-12-03,326
2020-12-04,379
2020-12-05,335
2020-12-06,345
2020-12-07,367
2020-12-08,376
2020-12-09,371
2020-12-10,379
2020-12-11,368
2020-12-12,321
2020-12-13,320
2020-12-14,367
2020-12-15,331
2020-12-16,324
2020-12-17,356
2020-12-18,351
2020-12-19,378
2020-12-20,374
2020-12-21,328
2020-12-22,360
2020-12-23,354
2020-12-24,338
2020-12-25,367
2020-12-26,335
2020-12-27,322
2020-12-28,339
2020-12-29,343
2020-12-30,373
2020-12-31,375
2021-01-01,152
2021-01-02,143
2021-01-03,171
2021-01-04,130
2021-01-05,168
2021-01-06,127
2021-01-07,155
2021-01-08,157
2021-01-09,159
2021-01-10,139
2021-01-11,154
2021-01-12,167
2021-01-13,144
2021-01-14,154
2021-01-15,144
2021-01-16,148
2021-01-17,137
2021-01-18,165
2021-01-19,137
2021-01-20,121
2021-01-21,173
2021-01-22,154
2021-01-23,135
2021-01-24,160
2021-01-25,155
2021-01-26,152
2021-01-27,123
2021-01-28,152
2021-01-29,133
2021-01-30,140
2021-01-31,167
2021-02-01,139
2021-02-02,175
2021-02-03,127
2021-02-04,126
2021-02-05,122
2021-02-06,136
2021-02-07,152
2021-02-08,167
2021-02-09,131
2021-02-10,178
2021-02-11,170
2021-02-12,141
2021-02-13,174
2021-02-14,141
2021-02-15,165
2021-02-16,149
2021-02-17,157
2021-02-18,157
2021-02-19,164
2021-02-20,170
2021-02-21,173
2021-02-22,127
2021-02-23,146
2021-02-24,146
2021-02-25,153
2021-02-26,140
2021-02-27,149
2021-02-28,152
2021-03-01,197
2021-03-02,216
2021-03-03,202
2021-03-04,174
2021-03-05,229
2021-03-06,217
2021-03-07,188
2021-03-08,173
2021-03-09,204
2021-03-10,218
2021-03-11,186
2021-03-12,213
2021-03-13,197
2021-03-14,199
2021-03-15,198
2021-03-16,215
2021-03-17,222
2021-03-18,175
2021-03-19,204
2021-03-20,229
2021-03-21,210
2021-03-22,206
2021-03-23,193
2021-03-24,198
2021-03-25,218
2021-03-26,215
2021-03-27,222
2021-03-28,200
2021-03-29,204
2021-03-30,229
2021-03-31,202
2021-04-01,221
2021-04-02,190
2021-04-03,201
2021-04-04,192
2021-04-05,202
2021-04-06,172
2021-04-07,187
2021-04-08,194
2021-04-09,211
2021-04-10,200
2021-04-11,223
2021-04-12,227
2021-04-13,172
2021-04-14,209
2021-04-15,215
2021-04-16,193
2021-04-17,219
2021-04-18,201
2021-04-19,216
2021-04-20,191
2021-04-21,192
2021-04-22,171
2021-04-23,196
2021-04-24,211
2021-04-25,171
2021-04-26,195
2021-04-27,186
2021-04-28,209
2021-04-29,202
2021-04-30,178
2021-05-01,212
2021-05-02,223
2021-05-03,217
2021-05-04,208
2021-05-05,198
2021-05-06,211
2021-05-07,224
2021-05-08,195
2021-05-09,204
2021-05-10,219
2021-05-11,194
2021-05-12,193
2021-05-13,182
2021-05-14,229
2021-05-15,227
2021-05-16,176
2021-05-17,226
2021-05-18,205
2021-05-19,214
2021-05-20,189
2021-05-21,170
2021-05-22,177
2021-05-23,215
2021-05-24,185
2021-05-25,183
2021-05-26,181
2021-05-27,220
2021-05-28,192
2021-05-29,184
2021-05-30,197
2021-05-31,203
2021-06-01,171
2021-06-02,201
2021-06-03,192
2021-06-04,191
2021-06-05,220
2021-06-06,194
2021-06-07,227
2021-06-08,191
2021-06-09,227
2021-06-10,227
2021-06-11,191
2021-06-12,218
2021-06-13,221
2021-06-14,211
2021-06-15,175
2021-06-16,184
2021-06-17,223
2021-06-18,212
2021-06-19,229
2021-06-20,206
2021-06-21,202
2021-06-22,177
2021-06-23,222
2021-06-24,229
2021-06-25,213
2021-06-26,213
2021-06-27,174
2021-06-28,208
2021-06-29,173
2021-06-30,175
2021-07-01,214
2021-07-02,201
2021-07-03,221
2021-07-04,199
2021-07-05,216
2021-07-06,204
2021-07-07,224
2021-07-08,209
2021-07-09,221
2021-07-10,185
2021-07-11,182
2021-07-12,219
2021-07-13,229
2021-07-14,211
2021-07-15,199
2021-07-16,188
2021-07-17,186
2021-07-18,225
2021-07-19,188
2021-07-20,197
2021-07-21,227
2021-07-22,224
2021-07-23,195
2021-07-24,206
2021-07-25,195
2021-07-26,222
2021-07-27,192
2021-07-28,178
2021-07-29,181
2021-07-30,222
2021-07-31,170
2021-08-01,227
2021-08-02,227
2021-08-03,170
2021-08-04,216
2021-08-05,203
2021-08-06,201
2021-08-07,223
2021-08-08,217
2021-08-09,194
2021-08-10,209
2021-08-11,214
2021-08-12,222
2021-08-13,170
2021-08-14,185
2021-08-15,208
2021-08-16,174
2021-08-17,191
2021-08-18,198
2021-08-19,224
2021-08-20,172
2021-08-21,181
2021-08-22,195
2021-08-23,185
2021-08-24,220
2021-08-25,206
2021-08-26,191
2021-08-27,226
2021-08-28,198
2021-08-29,183
2021-08-30,197
2021-08-31,174
2021-09-01,216
2021-09-02,218
2021-09-03,199
2021-09-04,215
2021-09-05,221
2021-09-06,174
2021-09-07,181
2021-09-08,185
2021-09-09,195
2021-09-10,195
2021-09-11,217
2021-09-12,190
2021-09-13,208
2021-09-14,205
2021-09-15,202
2021-09-16,199
2021-09-17,206
2021-09-18,192
2021-09-19,227
2021-09-20,179
2021-09-21,223
2021-09-22,174
2021-09-23,205
2021-09-24,203
2021-09-25,221
2021-09-26,200
2021-09-27,179
2021-09-28,227
2021-09-29,188
2021-09-30,227
2021-10-01,201
2021-10-02,170
2021-10-03,225
2021-10-04,174
2021-10-05,214
2021-10-06,173
2021-10-07,185
2021-10-08,193
2021-10-09,185
2021-10-10,224
2021-10-11,171
2021-10-12,218
2021-10-13,197
2021-10-14,201
2021-10-15,196
2021-10-16,189
2021-10-17,193
2021-10-18,181
2021-10-19,219
2021-10-20,204
2021-10-21,229
2021-10-22,202
2021-10-23,202
2021-10-24,220
2021-10-25,212
2021-10-26,206
2021-10-27,181
2021-10-28,172
2021-10-29,170
2021-10-30,202
2021-10-31,209
2021-11-01,329
2021-11-02,362
2021-11-03,363
2021-11-04,348
2021-11-05,332
2021-11-06,331
2021-11-07,350
2021-11-08,365
2021-11-09,321
2021-11-10,370
2021-11-11,369
2021-11-12,354
2021-11-13,342
2021-11-14,336
2021-11-15,345
2021-11-16,327
2021-11-17,348
2021-11-18,345
2021-11-19,329
2021-11-20,345
2021-11-21,353
2021-11-22,370
2021-11-23,360
2021-11-24,326
2021-11-25,323
2021-11-26,377
2021-11-27,372
2021-11-28,369
2021-11-29,364
2021-11-30,330
2021-12-01,348
2021-12-02,375
2021-12-03,355
2021-12-04,344
2021-12-05,340
2021-12-06,376
2021-12-07,355
2021-12-08,329
2021-12-09,356
2021-12-10,328
2021-12-11,343
2021-12-12,354
2021-12-13,368
2021-12-14,354
2021-12-15,367
2021-12-16,355
2021-12-17,337
2021-12-18,368
2021-12-19,358
2021-12-20,351
2021-12-21,343
2021-12-22,342
2021-12-23,351
2021-12-24,356
2021-12-25,331
2021-12-26,368
2021-12-27,374
2021-12-28,332
2021-12-29,342
2021-12-30,344
2021-12-31,354
2022-01-01,160
2022-01-02,149
2022-01-03,136
2022-01-04,168
2022-01-05,139
2022-01-06,167
2022-01-07,144
2022-01-08,141
2022-01-09,132
2022-01-10,178
2022-01-11,138
2022-01-12,168
2022-01-13,155
2022-01-14,131
2022-01-15,160
2022-01-16,138
2022-01-17,131
2022-01-18,128
2022-01-19,126
2022-01-20,147
2022-01-21,133
2022-01-22,150
2022-01-23,171
2022-01-24,138
2022-01-25,177
2022-01-26,166
2022-01-27,135
2022-01-28,172
2022-01-29,124
2022-01-30,154
2022-01-31,131
2022-02-01,144
2022-02-02,171
2022-02-03,178
2022-02-04,140
2022-02-05,155
2022-02-06,172
2022-02-07,142
2022-02-08,135
2022-02-09,176
2022-02-10,158
2022-02-11,164
2022-02-12,172
2022-02-13,161
2022-02-14,177
2022-02-15,158
2022-02-16,133
2022-02-17,150
2022-02-18,177
2022-02-19,124
2022-02-20,154
2022-02-21,142
2022-02-22,148
2022-02-23,162
2022-02-24,130
2022-02-25,137
2022-02-26,166
2022-02-27,131
2022-02-28,128
2022-03-01,179
2022-03-02,227
2022-03-03,213
2022-03-04,186
2022-03-05,207
2022-03-06,176
2022-03-07,215
2022-03-08,182
2022-03-09,209
2022-03-10,211
2022-03-11,178
2022-03-12,219
2022-03-13,196
2022-03-14,227
2022-03-15,171
2022-03-16,174
2022-03-17,198
2022-03-18,206
2022-03-19,207
2022-03-20,188
2022-03-21,177
2022-03-22,217
2022-03-23,214
2022-03-24,170
2022-03-25,191
2022-03-26,221
2022-03-27,186
2022-03-28,176
2022-03-29,194
2022-03-30,214
2022-03-31,173
2022-04-01,205
2022-04-02,175
2022-04-03,229
2022-04-04,200
2022-04-05,188
2022-04-06,213
2022-04-07,223
2022-04-08,208
2022-04-09,196
2022-04-10,179
2022-04-11,195
2022-04-12,188
2022-04-13,208
2022-04-14,172
2022-04-15,214
2022-04-16,182
2022-04-17,219
2022-04-18,197
2022-04-19,227
2022-04-20,189
2022-04-21,197
2022-04-22,177
2022-04-23,210
2022-04-24,208
2022-04-25,170
2022-04-26,172
2022-04-27,182
2022-04-28,197
2022-04-29,226
2022-04-30,229
2022-05-01,218
2022-05-02,194
2022-05-03,225
2022-05-04,202
2022-05-05,207
2022-05-06,222
2022-05-07,175
2022-05-08,227
2022-05-09,213
2022-05-10,214
2022-05-11,201
2022-05-12,214
2022-05-13,216
2022-05-14,190
2022-05-15,185
2022-05-16,223
2022-05-17,190
2022-05-18,180
2022-05-19,229
2022-05-20,206
2022-05-21,205
2022-05-22,204
2022-05-23,188
2022-05-24,189
2022-05-25,226
2022-05-26,187
2022-05-27,216
2022-05-28,210
2022-05-29,218
2022-05-30,183
2022-05-31,184
2022-06-01,200
2022-06-02,170
2022-06-03,222
2022-06-04,223
2022-06-05,223
2022-06-06,172
2022-06-07,185
2022-06-08,192
2022-06-09,226
2022-06-10,180
2022-06-11,181
2022-06-12,179
2022-06-13,201
2022-06-14,185
2022-06-15,177
2022-06-16,207
2022-06-17,181
2022-06-18,193
2022-06-19,197
2022-06-20,222
2022-06-21,177
2022-06-22,227
2022-06-23,197
2022-06-24,205
2022-06-25,195
2022-06-26,177
2022-06-27,227
2022-06-28,229
2022-06-29,219
2022-06-30,197
2022-07-01,197
2022-07-02,206
2022-07-03,210
2022-07-04,205
2022-07-05,196
2022-07-06,223
2022-07-07,186
2022-07-08,178
2022-07-09,202
2022-07-10,222
2022-07-11,189
2022-07-12,182
2022-07-13,197
2022-07-14,217
2022-07-15,198
2022-07-16,182
2022-07-17,215
2022-07-18,204
2022-07-19,175
2022-07-20,187
2022-07-21,220
2022-07-22,174
2022-07-23,216
2022-07-24,194
2022-07-25,171
2022-07-26,179
2022-07-27,225
2022-07-28,199
2022-07-29,219
2022-07-30,228
2022-07-31,214
2022-08-01,174
2022-08-02,224
2022-08-03,225
2022-08-04,202
2022-08-05,223
2022-08-06,170
2022-08-07,187
2022-08-08,201
2022-08-09,216
2022-08-10,218
2022-08-11,180
2022-08-12,190
2022-08-13,195
2022-08-14,194
2022-08-15,191
2022-08-16,228
2022-08-17,196
2022-08-18,218
2022-08-19,182
2022-08-20,202
2022-08-21,203
2022-08-22,210
2022-08-23,204
2022-08-24,170
2022-08-25,190
2022-08-26,217
2022-08-27,224
2022-08-28,175
2022-08-29,197
2022-08-30,186
2022-08-31,174
2022-09-01,200
2022-09-02,174
2022-09-03,207
2022-09-04,172
2022-09-05,222
2022-09-06,192
2022-09-07,206
2022-09-08,222
2022-09-09,206
2022-09-10,179
2022-09-11,179
2022-09-12,188
2022-09-13,186
2022-09-14,190
2022-09-15,183
2022-09-16,178
2022-09-17,215
2022-09-18,170
2022-09-19,220
2022-09-20,214
2022-09-21,182
2022-09-22,173
2022-09-23,170
2022-09-24,218
2022-09-25,209
2022-09-26,201
2022-09-27,203
2022-09-28,197
2022-09-29,200
2022-09-30,177
2022-10-01,208
2022-10-02,195
2022-10-03,227
2022-10-04,203
2022-10-05,223
2022-10-06,223
2022-10-07,172
2022-10-08,228
2022-10-09,219
2022-10-10,181
2022-10-11,170
2022-10-12,223
2022-10-13,213
2022-10-14,174
2022-10-15,199
2022-10-16,199
2022-10-17,228
2022-10-18,226
2022-10-19,186
2022-10-20,217
2022-10-21,216
2022-10-22,192
2022-10-23,184
2022-10-24,206
2022-10-25,190
2022-10-26,183
2022-10-27,171
2022-10-28,180
2022-10-29,220
2022-10-30,208
2022-10-31,207
2022-11-01,379
2022-11-02,353
2022-11-03,357
2022-11-04,369
2022-11-05,353
2022-11-06,337
2022-11-07,349
2022-11-08,334
2022-11-09,346
2022-11-10,370
2022-11-11,353
2022-11-12,371
2022-11-13,376
2022-11-14,357
2022-11-15,352
2022-11-16,343
2022-11-17,334
2022-11-18,379
2022-11-19,349
2022-11-20,374
2022-11-21,361
2022-11-22,370
2022-11-23,336
2022-11-24,324
2022-11-25,348
2022-11-26,323
2022-11-27,329
2022-11-28,375
2022-11-29,336
2022-11-30,329
2022-12-01,336
2022-12-02,379
2022-12-03,339
2022-12-04,343
2022-12-05,324
2022-12-06,353
2022-12-07,325
2022-12-08,372
2022-12-09,321
2022-12-10,332
2022-12-11,362
2022-12-12,362
2022-12-13,367
2022-12-14,330
2022-12-15,370
2022-12-16,366
2022-12-17,376
2022-12-18,342
2022-12-19,374
2022-12-20,335
2022-12-21,350
2022-12-22,330
2022-12-23,373
2022-12-24,335
2022-12-25,327
2022-12-26,323
2022-12-27,359
2022-12-28,323
2022-12-29,375
2022-12-30,344
2022-12-31,322
2023-01-01,151
2023-01-02,122
2023-01-03,146
2023-01-04,148
2023-01-05,151
2023-01-06,169
2023-01-07,177
2023-01-08,170
2023-01-09,138
2023-01-10,140
2023-01-11,124
2023-01-12,137
2023-01-13,147
2023-01-14,161
2023-01-15,141
2023-01-16,140
2023-01-17,125
2023-01-18,120
2023-01-19,124
2023-01-20,160
2023-01-21,131
2023-01-22,145
2023-01-23,165
2023-01-24,153
2023-01-25,168
2023-01-26,133
2023-01-27,145
2023-01-28,164
2023-01-29,146
2023-01-30,128
2023-01-31,145
2023-02-01,176
2023-02-02,166
2023-02-03,176
2023-02-04,141
2023-02-05,166
2023-02-06,175
2023-02-07,149
2023-02-08,162
2023-02-09,167
2023-02-10,136
2023-02-11,145
2023-02-12,155
2023-02-13,120
2023-02-14,127
2023-02-15,168
2023-02-16,154
2023-02-17,171
2023-02-18,134
2023-02-19,166
2023-02-20,175
2023-02-21,141
2023-02-22,133
2023-02-23,145
2023-02-24,147
2023-02-25,142
2023-02-26,133
2023-02-27,143
2023-02-28,121
2023-03-01,214
2023-03-02,195
2023-03-03,183
2023-03-04,228
2023-03-05,225
2023-03-06,220
2023-03-07,176
2023-03-08,172
2023-03-09,216
2023-03-10,192
2023-03-11,215
2023-03-12,212
2023-03-13,216
2023-03-14,229
2023-03-15,214
2023-03-16,187
2023-03-17,227
2023-03-18,207
2023-03-19,204
2023-03-20,220
2023-03-21,184
2023-03-22,194
2023-03-23,224
2023-03-24,206
2023-03-25,197
2023-03-26,179
2023-03-27,208
2023-03-28,226
2023-03-29,186
2023-03-30,208
2023-03-31,191
2023-04-01,195
2023-04-02,213
2023-04-03,194
2023-04-04,186
2023-04-05,182
2023-04-06,189
2023-04-07,194
2023-04-08,173
2023-04-09,179
2023-04-10,172
2023-04-11,210
2023-04-12,214
2023-04-13,187
2023-04-14,216
2023-04-15,205
2023-04-16,216
2023-04-17,191
2023-04-18,203
2023-04-19,216
2023-04-20,177
2023-04-21,209
2023-04-22,218
2023-04-23,213
2023-04-24,188
2023-04-25,211
2023-04-26,210
2023-04-27,206
2023-04-28,175
2023-04-29,221
2023-04-30,195
2023-05-01,203
2023-05-02,228
2023-05-03,225
2023-05-04,228
2023-05-05,214
2023-05-06,175
2023-05-07,206
2023-05-08,226
2023-05-09,202
2023-05-10,222
2023-05-11,191
2023-05-12,190
2023-05-13,175
2023-05-14,175
2023-05-15,224
2023-05-16,217
2023-05-17,173
2023-05-18,199
2023-05-19,180
2023-05-20,199
2023-05-21,200
2023-05-22,193
2023-05-23,224
2023-05-24,178
2023-05-25,224
2023-05-26,172
2023-05-27,220
2023-05-28,200
2023-05-29,209
2023-05-30,206
2023-05-31,205
2023-06-01,193
2023-06-02,200
2023-06-03,175
2023-06-04,171
2023-06-05,189
2023-06-06,197
2023-06-07,180
2023-06-08,173
2023-06-09,184
2023-06-10,175
2023-06-11,223
2023-06-12,218
2023-06-13,199
2023-06-14,225
2023-06-15,207
2023-06-16,220
2023-06-17,226
2023-06-18,171
2023-06-19,184
2023-06-20,180
2023-06-21,177
2023-06-22,195
2023-06-23,220
2023-06-24,214
2023-06-25,213
2023-06-26,174
2023-06-27,175
2023-06-28,195
2023-06-29,223
2023-06-30,173
2023-07-01,188
2023-07-02,189
2023-07-03,202
2023-07-04,189
2023-07-05,218
2023-07-06,181
2023-07-07,216
2023-07-08,170
2023-07-09,195
2023-07-10,183
2023-07-11,207
2023-07-12,206
2023-07-13,180
2023-07-14,205
2023-07-15,182
2023-07-16,212
2023-07-17,172
2023-07-18,202
2023-07-19,175
2023-07-20,219
2023-07-21,225
2023-07-22,179
2023-07-23,174
2023-07-24,192
2023-07-25,179
2023-07-26,213
2023-07-27,171
2023-07-28,182
2023-07-29,209
2023-07-30,171
2023-07-31,189
2023-08-01,170
2023-08-02,206
2023-08-03,178
2023-08-04,186
2023-08-05,178
2023-08-06,180
2023-08-07,184
2023-08-08,193
2023-08-09,207
2023-08-10,224
2023-08-11,204
2023-08-12,199
2023-08-13,200
2023-08-14,218
2023-08-15,174
2023-08-16,229
2023-08-17,213
2023-08-18,219
2023-08-19,183
2023-08-20,222
2023-08-21,225
2023-08-22,180
2023-08-23,178
2023-08-24,203
2023-08-25,181
2023-08-26,204
2023-08-27,204
2023-08-28,170
2023-08-29,209
2023-08-30,191
2023-08-31,229
2023-09-01,198
2023-09-02,177
2023-09-03,180
2023-09-04,210
2023-09-05,206
2023-09-06,183
2023-09-07,229
2023-09-08,199
2023-09-09,204
2023-09-10,190
2023-09-11,206
2023-09-12,174
2023-09-13,188
2023-09-14,228
2023-09-15,183
2023-09-16,195
2023-09-17,173
2023-09-18,194
2023-09-19,214
2023-09-20,211
2023-09-21,194
2023-09-22,187
2023-09-23,209
2023-09-24,177
2023-09-25,208
2023-09-26,209
2023-09-27,183
2023-09-28,201
2023-09-29,220
2023-09-30,207
2023-10-01,202
2023-10-02,192
2023-10-03,184
2023-10-04,202
2023-10-05,194
2023-10-06,186
2023-10-07,202
2023-10-08,216
2023-10-09,224
2023-10-10,171
2023-10-11,183
2023-10-12,222
2023-10-13,209
2023-10-14,209
2023-10-15,220
2023-10-16,208
2023-10-17,220
2023-10-18,175
2023-10-19,175
2023-10-20,172
2023-10-21,176
2023-10-22,220
2023-10-23,177
2023-10-24,211
2023-10-25,221
2023-10-26,184
2023-10-27,216
2023-10-28,198
2023-10-29,202
2023-10-30,221
2023-10-31,199
2023-11-01,358
2023-11-02,346
2023-11-03,355
2023-11-04,348
2023-11-05,357
2023-11-06,376
2023-11-07,352
2023-11-08,356
2023-11-09,346
2023-11-10,374
2023-11-11,352
2023-11-12,323
2023-11-13,341
2023-11-14,321
2023-11-15,329
2023-11-16,324
2023-11-17,378
2023-11-18,329
2023-11-19,352
2023-11-20,373
2023-11-21,357
2023-11-22,332
2023-11-23,350
2023-11-24,366
2023-11-25,355
2023-11-26,364
2023-11-27,343
2023-11-28,371
2023-11-29,375
2023-11-30,334
2023-12-01,348
2023-12-02,327
2023-12-03,324
2023-12-04,348
2023-12-05,366
2023-12-06,323
2023-12-07,331
2023-12-08,364
2023-12-09,321
2023-12-10,346
2023-12-11,350
2023-12-12,370
2023-12-13,370
2023-12-14,355
2023-12-15,355
2023-12-16,345
2023-12-17,362
2023-12-18,346
2023-12-19,324
2023-12-20,339
2023-12-21,330
2023-12-22,329
2023-12-23,359
2023-12-24,357
2023-12-25,325
2023-12-26,327
2023-12-27,342
2023-12-28,366
2023-12-29,345
2023-12-30,365
2023-12-31,362
2024-01-01,131
2024-01-02,145
2024-01-03,132
2024-01-04,159
2024-01-05,137
2024-01-06,144
2024-01-07,152
2024-01-08,166
2024-01-09,159
2024-01-10,179
2024-01-11,162
2024-01-12,131
2024-01-13,163
2024-01-14,155
2024-01-15,167
2024-01-16,123
2024-01-17,124
2024-01-18,175
2024-01-19,156
2024-01-20,127
2024-01-21,161
2024-01-22,168
2024-01-23,147
2024-01-24,150
2024-01-25,177
2024-01-26,128
2024-01-27,173
2024-01-28,170
2024-01-29,148
2024-01-30,133
2024-01-31,159
2024-02-01,160
2024-02-02,141
2024-02-03,130
2024-02-04,142
2024-02-05,120
2024-02-06,165
2024-02-07,156
2024-02-08,140
2024-02-09,145
2024-02-10,165
2024-02-11,155
2024-02-12,173
2024-02-13,142
2024-02-14,176
2024-02-15,120
2024-02-16,173
2024-02-17,174
2024-02-18,170
2024-02-19,159
2024-02-20,134
2024-02-21,140
2024-02-22,166
2024-02-23,128
2024-02-24,172
2024-02-25,128
2024-02-26,129
2024-02-27,171
2024-02-28,176
2024-02-29,172
2024-03-01,195
2024-03-02,210
2024-03-03,204
2024-03-04,221
2024-03-05,194
2024-03-06,195
2024-03-07,180
2024-03-08,207
2024-03-09,171
2024-03-10,176
2024-03-11,187
2024-03-12,196
2024-03-13,203
2024-03-14,196
2024-03-15,186
2024-03-16,212
2024-03-17,228
2024-03-18,213
2024-03-19,228
2024-03-20,220
2024-03-21,223
2024-03-22,193
2024-03-23,194
2024-03-24,176
2024-03-25,221
2024-03-26,175
2024-03-27,222
2024-03-28,193
2024-03-29,202
2024-03-30,218
2024-03-31,198
2024-04-01,212
2024-04-02,191
